"","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickerId","returnerId","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","distance","result","seconds","season","week","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","score_diff","height","weight","birthDate","collegeName","Position","displayName"
"1",2018090600,658,"(5:03) M.Bryant 21 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",1,4,3,"ATL","Field Goal","Kick Attempt Good","27091",NA,NA,"PHI",3,5M 3S,NA,NA,NA,0,0,NA,21,NA,0,13,21,"1",3003,2018,1,"09/06/2018","20:20:00","PHI","ATL",0,"5-9",203,"05/29/1975","Baylor","K","Matt Bryant"
"2",2018090600,1368,"(6:12) J.Elliott 26 yard field goal is GOOD, Center-R.Lovato, Holder-C.Johnston.",2,4,8,"PHI","Field Goal","Kick Attempt Good","44966",NA,NA,"ATL",8,6M 12S,NA,NA,NA,0,3,NA,26,NA,0,18,26,"1",2172,2018,1,"09/06/2018","20:20:00","PHI","ATL",-3,"5-9",167,"1995-01-21","Memphis","K","Jake Elliott"
"3",2018090600,1587,"(2:13) M.Bryant 52 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",2,4,17,"ATL","Field Goal","Kick Attempt Good","27091",NA,NA,"PHI",34,2M 13S,NA,NA,NA,3,3,NA,52,NA,0,76,52,"1",1933,2018,1,"09/06/2018","20:20:00","PHI","ATL",0,"5-9",203,"05/29/1975","Baylor","K","Matt Bryant"
"4",2018090900,1226,"(13:18) (Field Goal formation) J.Tucker 41 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,4,13,"BAL","Field Goal","Kick Attempt Good","39470",NA,NA,"BUF",23,13M 18S,NA,NA,NA,14,0,NA,41,NA,0,33,41,"1",2598,2018,1,"09/09/2018","13:00:00","BAL","BUF",14,"6-1",183,"1989-11-21","Texas","K","Justin Tucker"
"5",2018090900,1613,"(8:48) (Field Goal formation) S.Hauschka 52 yard field goal is No Good, Short, Center-R.Ferguson, Holder-C.Bojorquez.",2,4,9,"BUF","Field Goal","Kick Attempt No Good","33469",NA,NA,"BAL",34,8M 48S,NA,NA,NA,17,0,NA,52,NA,-8,76,52,"0",2328,2018,1,"09/09/2018","13:00:00","BAL","BUF",-17,"76",210,"1985-06-29","North Carolina State","K","Stephen Hauschka"
"6",2018090900,1973,"(4:20) (Field Goal formation) J.Tucker 39 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,4,2,"BAL","Field Goal","Kick Attempt Good","39470",NA,NA,"BUF",21,4M 20S,NA,NA,NA,17,0,NA,39,NA,0,31,39,"1",2060,2018,1,"09/09/2018","13:00:00","BAL","BUF",17,"6-1",183,"1989-11-21","Texas","K","Justin Tucker"
"7",2018090900,3461,"(2:42) (Field Goal formation) S.Hauschka 35 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez. Penalty on BAL-A.Levine, Defensive Offside, declined.",3,4,17,"BUF","Field Goal","Kick Attempt Good","33469",NA,NA,"BAL",17,2M 42S,"DOF","BAL 41",0,40,0,NA,35,NA,0,93,35,"1",1062,2018,1,"09/09/2018","13:00:00","BAL","BUF",-40,"76",210,"1985-06-29","North Carolina State","K","Stephen Hauschka"
"8",2018090901,5191,"(1:47) C.Boswell 42 yard field goal is No Good, Wide Left, Center-K.Canaday, Holder-J.Berry.",5,4,3,"PIT","Field Goal","Kick Attempt No Good","41953",NA,NA,"CLE",24,1M 47S,NA,NA,NA,21,21,NA,42,NA,-8,34,42,"0",107,2018,1,"09/09/2018","13:00:00","CLE","PIT",0,"6-2",185,"1991-03-16","Rice","K","Chris Boswell"
"9",2018090901,5480,"(:13) Z.Gonzalez 43 yard field goal is BLOCKED (T.Watt), Center-C.Hughlett, Holder-B.Colquitt.",5,3,11,"CLE","Field Goal","Blocked Kick Attempt","45037",NA,44842,"PIT",25,13S,NA,NA,NA,21,21,NA,NA,NA,-8,85,43,"0",13,2018,1,"09/09/2018","13:00:00","CLE","PIT",0,"6-0",202,"1995-05-07","Arizona State","K","Zane Gonzalez"
"10",2018090902,394,"(8:25) R.Bullock 42 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",1,4,12,"CIN","Field Goal","Kick Attempt Good","38691",NA,NA,"IND",24,8M 25S,NA,NA,NA,0,0,NA,42,NA,0,86,42,"1",3205,2018,1,"09/09/2018","13:00:00","IND","CIN",0,"5-9",210,"1989-12-16","Texas A&amp;M","K","Randy Bullock"
"11",2018090902,757,"(1:27) A.Vinatieri 21 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",1,4,3,"IND","Field Goal","Kick Attempt Good","21213",NA,NA,"CIN",3,1M 27S,NA,NA,NA,0,3,NA,21,NA,0,13,21,"1",2787,2018,1,"09/09/2018","13:00:00","IND","CIN",-3,"72",212,"1972-12-28","South Dakota State","K","Adam Vinatieri"
"12",2018090902,1574,"(3:06) A.Vinatieri 38 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,4,5,"IND","Field Goal","Kick Attempt Good","21213",NA,NA,"CIN",20,3M 6S,NA,NA,NA,10,3,NA,38,NA,0,90,38,"1",1986,2018,1,"09/09/2018","13:00:00","IND","CIN",7,"72",212,"1972-12-28","South Dakota State","K","Adam Vinatieri"
"13",2018090902,2084,"(:06) A.Vinatieri 51 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,3,7,"IND","Field Goal","Kick Attempt Good","21213",NA,NA,"CIN",33,6S,NA,NA,NA,13,10,NA,51,NA,0,77,51,"1",1806,2018,1,"09/09/2018","13:00:00","IND","CIN",3,"72",212,"1972-12-28","South Dakota State","K","Adam Vinatieri"
"14",2018090902,3135,"(:17) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Rhodes, Holder-R.Sanchez.",3,4,14,"IND","Field Goal","Kick Attempt No Good","21213",NA,NA,"CIN",37,17S,NA,NA,NA,23,17,NA,55,NA,-8,47,55,"0",917,2018,1,"09/09/2018","13:00:00","IND","CIN",6,"72",212,"1972-12-28","South Dakota State","K","Adam Vinatieri"
"15",2018090902,3873,"(4:01) R.Bullock 39 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",4,4,10,"CIN","Field Goal","Kick Attempt Good","38691",NA,NA,"IND",21,4M 1S,NA,NA,NA,23,24,NA,39,NA,0,31,39,"1",241,2018,1,"09/09/2018","13:00:00","IND","CIN",1,"5-9",210,"1989-12-16","Texas A&amp;M","K","Randy Bullock"
"16",2018090903,240,"(10:22) (Field Goal formation) R.Succop 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",1,4,4,"TEN","Field Goal","Kick Attempt Good","34707",NA,NA,"MIA",28,10M 22S,NA,NA,NA,0,0,NA,47,NA,0,82,47,"1",3322,2018,1,"09/09/2018","13:00:00","MIA","TEN",0,"6-2",218,"1986-09-19","South Carolina","K","Ryan Succop"
"17",2018090903,2661,"(4:09) (Field Goal formation) J.Sanders 27 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",3,4,5,"MIA","Field Goal","Kick Attempt Good","46298",NA,NA,"TEN",9,4M 9S,NA,NA,NA,7,3,NA,27,NA,0,19,27,"1",1149,2018,1,"09/09/2018","13:00:00","MIA","TEN",4,"5-11",186,"1995-11-16","New Mexico","K","Jason Sanders"
"18",2018090903,3690,"(3:53) (Field Goal formation) J.Sanders 30 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",4,4,10,"MIA","Field Goal","Kick Attempt Good","46298",NA,NA,"TEN",12,3M 53S,NA,NA,NA,24,17,NA,30,NA,0,98,30,"1",233,2018,1,"09/09/2018","13:00:00","MIA","TEN",7,"5-11",186,"1995-11-16","New Mexico","K","Jason Sanders"
"19",2018090903,4143,"(:16) (Field Goal formation) R.Succop 53 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",4,1,5,"TEN","Field Goal","Kick Attempt Good","34707",NA,NA,"MIA",35,16S,NA,NA,NA,27,17,NA,53,NA,0,45,53,"1",16,2018,1,"09/09/2018","13:00:00","MIA","TEN",-10,"6-2",218,"1986-09-19","South Carolina","K","Ryan Succop"
"20",2018090905,848,"(2:37) K.Fairbairn 42 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",1,4,17,"HOU","Field Goal","Kick Attempt Good","43846",NA,NA,"NE",24,2M 37S,NA,NA,NA,7,0,NA,42,NA,0,34,42,"1",2857,2018,1,"09/09/2018","13:00:00","NE","HOU",-7,"6-0",183,"1994-01-29","UCLA","K","Ka'imi Fairbairn"
"21",2018090905,1378,"(9:03) K.Fairbairn 36 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",2,4,14,"HOU","Field Goal","Kick Attempt Good","43846",NA,NA,"NE",19,9M 3S,NA,NA,NA,14,3,NA,36,NA,0,91,36,"1",2343,2018,1,"09/09/2018","13:00:00","NE","HOU",-11,"6-0",183,"1994-01-29","UCLA","K","Ka'imi Fairbairn"
"22",2018090905,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,4,7,"NE","Field Goal","Kick Attempt Good","30932",NA,NA,"HOU",20,6M 5S,NA,NA,NA,21,6,NA,39,NA,0,90,39,"1",1265,2018,1,"09/09/2018","13:00:00","NE","HOU",15,"6-1",215,"1984-01-28","Memphis","K","Stephen Gostkowski"
"23",2018090905,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,4,14,"NE","Field Goal","Kick Attempt Good","30932",NA,NA,"HOU",17,9M 53S,NA,NA,NA,24,13,NA,35,NA,0,27,35,"1",593,2018,1,"09/09/2018","13:00:00","NE","HOU",11,"6-1",215,"1984-01-28","Memphis","K","Stephen Gostkowski"
"24",2018090906,1270,"(11:17) C.Catanzaro 33 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",2,4,7,"TB","Field Goal","Kick Attempt Good","41736",NA,NA,"NO",15,11M 17S,NA,NA,NA,17,14,NA,33,NA,0,25,33,"1",2477,2018,1,"09/09/2018","13:00:00","NO","TB",-3,"75",200,"1991-02-26","Clemson","K","Chandler Catanzaro"
"25",2018090906,2539,"(11:29) C.Catanzaro 36 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",3,4,18,"TB","Field Goal","Kick Attempt Good","41736",NA,NA,"NO",18,11M 29S,NA,NA,NA,24,31,NA,36,NA,0,28,36,"1",1589,2018,1,"09/09/2018","13:00:00","NO","TB",7,"75",200,"1991-02-26","Clemson","K","Chandler Catanzaro"
"26",2018090906,4096,"(4:57) C.Catanzaro 44 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Anger.",4,4,3,"TB","Field Goal","Kick Attempt No Good","41736",NA,NA,"NO",26,4M 57S,NA,NA,NA,32,48,NA,44,NA,-8,84,44,"0",297,2018,1,"09/09/2018","13:00:00","NO","TB",16,"75",200,"1991-02-26","Clemson","K","Chandler Catanzaro"
"27",2018090907,292,"(10:17) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",1,4,8,"JAX","Field Goal","Kick Attempt Good","43068",NA,NA,"NYG",21,10M 17S,NA,NA,NA,0,0,NA,39,NA,0,31,39,"1",3317,2018,1,"09/09/2018","13:00:00","NYG","JAX",0,"6-0",215,"1990-11-19","Texas A&amp;M","K","Josh Lambo"
"28",2018090907,801,"(:26) A.Rosas 27 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",1,4,9,"NYG","Field Goal","Kick Attempt Good","43937",NA,NA,"JAX",9,26S,NA,NA,NA,0,3,NA,27,NA,0,101,27,"1",2726,2018,1,"09/09/2018","13:00:00","NYG","JAX",-3,"6-3",221,"1994-12-30","Southern Oregon","K","Aldrick Rosas"
"29",2018090907,1201,"(7:22) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",2,4,20,"JAX","Field Goal","Kick Attempt Good","43068",NA,NA,"NYG",21,7M 22S,NA,NA,NA,3,3,NA,39,NA,0,89,39,"1",2242,2018,1,"09/09/2018","13:00:00","NYG","JAX",0,"6-0",215,"1990-11-19","Texas A&amp;M","K","Josh Lambo"
"30",2018090907,1848,"(:07) A.Rosas 31 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",2,3,12,"NYG","Field Goal","Kick Attempt Good","43937",NA,NA,"JAX",13,7S,NA,NA,NA,3,13,NA,31,NA,0,23,31,"1",1807,2018,1,"09/09/2018","13:00:00","NYG","JAX",-10,"6-3",221,"1994-12-30","Southern Oregon","K","Aldrick Rosas"
"31",2018090907,2248,"(9:23) A.Rosas 44 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",3,4,3,"NYG","Field Goal","Kick Attempt Good","43937",NA,NA,"JAX",26,9M 23S,NA,NA,NA,6,13,NA,44,NA,0,84,44,"1",1463,2018,1,"09/09/2018","13:00:00","NYG","JAX",-7,"6-3",221,"1994-12-30","Southern Oregon","K","Aldrick Rosas"
"32",2018090909,3089,"(12:16) D.Hopkins 31 yard field goal is GOOD, Center-N.Sundberg, Holder-T.Way.",4,4,6,"WAS","Field Goal","Kick Attempt Good","40125",NA,NA,"ARI",13,12M 16S,NA,NA,NA,0,21,NA,31,NA,0,23,31,"1",736,2018,1,"09/09/2018","16:25:00","ARI","WAS",21,"6-2",203,"1990-10-01","Florida State","K","Dustin Hopkins"
"33",2018090910,2008,"(:07) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,3,5,"CAR","Field Goal","Kick Attempt Good","35102",NA,NA,"DAL",9,7S,NA,NA,NA,7,0,NA,27,NA,0,101,27,"1",1807,2018,1,"09/09/2018","16:25:00","CAR","DAL",7,"6-2",202,"1987-04-09","Florida State","K","Graham Gano"
